method,lead_time,t,twcrps,owcrps
DRN,0,12,0.085074978832813,0.172915241506935
DRN,0,13,0.0660658196290241,0.158230596339321
DRN,0,14,0.0509786733800845,0.146161439788825
DRN,0,15,0.0388343812075041,0.135992022117081
DRN,0,16,0.0292084147714187,0.122669079795468
DRN,0,17,0.0218806324091677,0.111805173924088
DRN,0,18,0.0166445781592315,0.123875863659818
DRN,0,19,0.01261616796602,0.116147013132074
DRN,0,20,0.0096476449029358,0.110566285966091
BQN,0,0,0.75999304430896,0.754524632268073
BQN,0,1,0.755397047977531,0.754958254422229
BQN,0,2,0.717104129624207,0.702199819504374
BQN,0,3,0.631468395737557,0.591151119400086
BQN,0,4,0.535110681556501,0.500622572477876
BQN,0,5,0.441100133048235,0.447937646820762
BQN,0,6,0.356785700137134,0.411319220823831
BQN,0,7,0.285016662601128,0.386017004549628
BQN,0,8,0.226829119694133,0.369907554148514
BQN,0,9,0.179331108945099,0.363933466324498
BQN,0,10,0.14096712387598,0.347039395557961
BQN,0,11,0.110751588087832,0.352122268801667
BQN,0,12,0.086470044239945,0.345330713804398
BQN,0,13,0.0672453037913787,0.331429993111431
BQN,0,14,0.052055056878001,0.319197183359326
BQN,0,15,0.0396554564641768,0.318300051047951
BQN,0,16,0.029908202226398,0.300374652474303
BQN,0,17,0.0224097503696404,0.268148802921892
BQN,0,18,0.0170247440143673,0.318873819826257
BQN,0,19,0.0129654522575111,0.304051017460291
BQN,0,20,0.0099379578726731,0.300806659816911
EMOS,1,0,0.863907453080056,0.859030814829407
EMOS,1,1,0.856915004708244,0.859668491130507
EMOS,1,2,0.810042846724529,0.798450032771172
EMOS,1,3,0.713559125100844,0.652819058103885
EMOS,1,4,0.602947979612064,0.528725452778413
EMOS,1,5,0.496929667245514,0.423691508490105
EMOS,1,6,0.402536081919082,0.329178004282768
EMOS,1,7,0.322918424604005,0.262341907189121
EMOS,1,8,0.257441194768153,0.212679191272258
EMOS,1,9,0.204109562284758,0.18002037538841
EMOS,1,10,0.161222708437395,0.153112553958785
EMOS,1,11,0.126749795716633,0.138827199323671
EMOS,1,12,0.0996881616335364,0.129913586755288
EMOS,1,13,0.0778079603172698,0.117335680634509
EMOS,1,14,0.0605296309921638,0.113319093235298
EMOS,1,15,0.0465503074973721,0.106153967721418
EMOS,1,16,0.0355107962447015,0.0974257158400913
EMOS,1,17,0.0269158902961003,0.0895084347690055
EMOS,1,18,0.0205443791193324,0.100329115890949
EMOS,1,19,0.0157721039812435,0.0971253130038389
EMOS,1,20,0.0122081335492237,0.093196144838858
EMOS_SEA,1,0,0.851384955516928,0.84655544127739
EMOS_SEA,1,1,0.844680227882962,0.846710084356765
EMOS_SEA,1,2,0.798185758154837,0.786879830779744
EMOS_SEA,1,3,0.703370372728697,0.644025602612093
EMOS_SEA,1,4,0.594077786166451,0.522726323906046
EMOS_SEA,1,5,0.490222690019667,0.419506945664133
EMOS_SEA,1,6,0.397592998481761,0.327063314750332
EMOS_SEA,1,7,0.319181255736242,0.262134365771412
EMOS_SEA,1,8,0.254489090114518,0.213862906771366
EMOS_SEA,1,9,0.201610341428109,0.182946370123929
EMOS_SEA,1,10,0.159061199366148,0.156882908721666
EMOS_SEA,1,11,0.124847000014202,0.142689668106869
EMOS_SEA,1,12,0.0979916362888374,0.133016961652065
EMOS_SEA,1,13,0.0764936545689403,0.120799666557251
EMOS_SEA,1,14,0.0595252391292046,0.115324862123746
EMOS_SEA,1,15,0.0457401887464534,0.10852929644359
EMOS_SEA,1,16,0.0349604618718973,0.101225078189697
EMOS_SEA,1,17,0.0264725654807476,0.0925023436611009
EMOS_SEA,1,18,0.0203152731958854,0.102273139252345
EMOS_SEA,1,19,0.0156764366582783,0.098707655990636
EMOS_SEA,1,20,0.0122181571432419,0.0942067916976355
EMOS_BST,1,0,0.779796408739,0.774604238681693
EMOS_BST,1,1,0.773773830748432,0.77050507008469
EMOS_BST,1,2,0.73089325904178,0.708766707685954
EMOS_BST,1,3,0.640757498786263,0.585179122791672
EMOS_BST,1,4,0.540633454436884,0.480201568510378
EMOS_BST,1,5,0.44586737044102,0.394575822479579
EMOS_BST,1,6,0.360808271263752,0.326591089617808
EMOS_BST,1,7,0.289016673123857,0.285305303226986
EMOS_BST,1,8,0.230442049196514,0.255662146531391
EMOS_BST,1,9,0.182404020458756,0.236715449954484
EMOS_BST,1,10,0.144027070007216,0.214171456617565
EMOS_BST,1,11,0.113647944301063,0.200866139258923
EMOS_BST,1,12,0.0897537111989688,0.19057769189388
EMOS_BST,1,13,0.0706370967047152,0.172728366513784
EMOS_BST,1,14,0.0553859963135152,0.164471759180879
EMOS_BST,1,15,0.0431056989251829,0.14871070494505
EMOS_BST,1,16,0.0332689840327235,0.132070750092292
EMOS_BST,1,17,0.0255827326126236,0.11603512950721
EMOS_BST,1,18,0.0199820254160688,0.117163571560021
EMOS_BST,1,19,0.0157453701959318,0.11064980097662
EMOS_BST,1,20,0.0125950574457329,0.0982491624250319
MBM,1,0,0.886203636303329,0.878875307107954
MBM,1,1,0.878448903227853,0.875232737080249
MBM,1,2,0.831491200410253,0.806365975773229
MBM,1,3,0.731062385577014,0.677854129393806
MBM,1,4,0.616701888825981,0.591897621776548
MBM,1,5,0.508289607341352,0.539870766668586
MBM,1,6,0.412283851359271,0.496757735330664
MBM,1,7,0.331214116560052,0.47597687409635
MBM,1,8,0.264521111241252,0.457453849007467
MBM,1,9,0.209985236525012,0.44488718999554
MBM,1,10,0.166222027267666,0.420347651765618
MBM,1,11,0.131073558638281,0.405934880882783
MBM,1,12,0.103116976190945,0.391401687511872
MBM,1,13,0.0804914494375211,0.367099016929998
MBM,1,14,0.0626024572222124,0.35571988451345
