"method","lead_time","t","twcrps","owcrps"
"HEN",5,14,0.0507597885460438,0.0354462512723157
"HEN",5,15,0.0389094029496694,0.0266577624627834
"HEN",5,16,0.0294251612491579,0.0203409689424961
"HEN",5,17,0.0222383427997116,0.0149587854501127
"HEN",5,18,0.0169045327023131,0.0131738986738196
"HEN",5,19,0.0128765094010142,0.0100019080766624
"HEN",5,20,0.00978118261953707,0.00786127103979913
"HEN",6,0,0.807660519967907,0.801778800980625
"HEN",6,1,0.803144410749312,0.805740912483261
"HEN",6,2,0.765264999668356,0.736247236723104
"HEN",6,3,0.674900043316063,0.613155404418353
"HEN",6,4,0.574165592074652,0.501712041058985
"HEN",6,5,0.471953409505115,0.401543785881236
"HEN",6,6,0.378084820032061,0.309901066945353
"HEN",6,7,0.299058711973905,0.240521420471685
"HEN",6,8,0.234432454457181,0.186345724457098
"HEN",6,9,0.182622542487595,0.143100451311338
"HEN",6,10,0.142479544235804,0.10728283209624
"HEN",6,11,0.110829657606303,0.0819579407011789
"HEN",6,12,0.0859319003534171,0.0621689804095618
"HEN",6,13,0.0660097355307852,0.046548996157491
"HEN",6,14,0.0505570181455335,0.0352374157055398
"HEN",6,15,0.038403558246391,0.0260639336542275
"HEN",6,16,0.0289664188511406,0.0196379347867724
"HEN",6,17,0.0219496509348436,0.0142655842238072
"HEN",6,18,0.0166369361452572,0.0126983747248517
"HEN",6,19,0.0126130749681006,0.00979979717687474
"HEN",6,20,0.00959315370533636,0.00763863673224613
"HEN",7,0,0.824217723384633,0.820355063725008
"HEN",7,1,0.821485865157091,0.824351463303691
"HEN",7,2,0.793692506236678,0.769815717314877
"HEN",7,3,0.711562377700208,0.647747835574733
"HEN",7,4,0.610165381158047,0.536151339657976
"HEN",7,5,0.50735098796815,0.430751145892772
"HEN",7,6,0.408201177648058,0.335278237772027
"HEN",7,7,0.322270184070987,0.25848881086815
"HEN",7,8,0.25100745417947,0.197956281647765
"HEN",7,9,0.194030618214991,0.152432176332007
"HEN",7,10,0.149475644295897,0.11193530340304
"HEN",7,11,0.114904257569995,0.0852158162744079
"HEN",7,12,0.0878723129800446,0.0634865391888568
"HEN",7,13,0.0667535834723323,0.0466850449325768
"HEN",7,14,0.0507620235929421,0.0346835734984576
"HEN",7,15,0.038363156650824,0.0260023253289773
"HEN",7,16,0.0287512302585499,0.0199874075981326
"HEN",7,17,0.0217544156974867,0.0144425496636382
"HEN",7,18,0.0164157450237494,0.0130359335045886
"HEN",7,19,0.0123652812909716,0.00973963604705154
"HEN",7,20,0.00937361200634878,0.00751766382304357
"HEN",8,0,0.84587826973998,0.843028510335845
"HEN",8,1,0.844418302156507,0.845775763049191
"HEN",8,2,0.826387332511047,0.807578517652683
"HEN",8,3,0.758965882317635,0.698947450907617
"HEN",8,4,0.662851742168921,0.583596920146184
"HEN",8,5,0.555828806910447,0.475291139613104
